"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"An",1,40,2023,0,2023,2023,0,2023,2023,0,NA,NA,0
"Furturi",2,40,158862.351351351,298632.456329594,66196.5,82596.5016891892,91962.7128,245,1359102,1358857,2.9078721298329,7.75983089313182,47217.9372626142
"PIB_per_capita",3,40,33208.5714285714,22567.9393811683,30920,30121.3392857143,20356.098,5500,102250,96750,1.19216308183238,1.09247884972055,3568.30452705514
"Someri_Mii",4,40,497.428571428571,769.993316178593,204,294.035714285714,231.2856,8,3274,3266,2.39073608886952,4.82946362579218,121.746633111527
"Imigratie",5,40,203644.085714286,286160.980717405,108580,139082.232142857,127541.4063,716,1303251,1302535,2.69554261479334,7.20668414937587,45246.0238267263
"Densitate_Populatie",6,40,171.267567567568,278.57686142253,106.6,119.790709459459,80.65344,3.8,1766,1762.2,4.71716850192475,23.9421165209885,44.0468692758145
"Est_Vest",7,40,0.4,0.496138938356834,0,0.375,0,0,1,1,0.393035065229554,-1.8909375,0.0784464540552736
"ln_Furturi",8,40,10.5183917159204,2.08637175857701,11.0996904767562,10.6454788247723,1.73711421576159,5.50125821054473,14.1223347455044,8.62107653495969,-0.542909566436474,-0.309420530003838,0.329884340147715
"ln_PIB",9,40,10.1830938514528,0.711468011671955,10.3376088986672,10.2040386492451,0.718457019176564,8.61250337122056,11.535176073905,2.92267270268449,-0.271296795366196,-0.585921763024221,0.112492969961732
"ln_Someri",10,40,5.34291135075971,1.40100467454343,5.31811999384422,5.36156702300676,1.25702596312412,2.07944154167984,8.09376775793108,6.01432621625124,-0.190078014274344,-0.144902388969864,0.221518289205008
"ln_Imigratie",11,40,11.4050277797619,1.5370894601921,11.5907883785001,11.5394552060265,1.136256196426,6.57507584059962,14.0803732372542,7.50529739665453,-0.950922352246998,1.22212294228861,0.243035183082288
"ln_Densitate",12,40,4.60826150360039,1.04085781383813,4.66900914570201,4.64968835145254,0.703075474129648,1.33500106673234,7.47647238116391,6.14147131443157,-0.407610146623577,1.82074627955524,0.164574070605601
